FacultyName,Course,Comments,Target,Class
,,463For teacher good,Teacher,CS1H
,,"463For teacher humble ,interctive , cooperative  , caring , always available",Teacher,CS1H
,,463For teacher dedicated and enthusiastic; fosters a strong learning atmosphere.,Teacher,CS1H
,,463For teacher mam is very gratefull and honest regarding subject.,Teacher,CS1H
,,"463For teacher supportive teacher, but assignments were very demanding.",Teacher,CS1H
,,463For teacher very friendly and mastermind,Teacher,CS1H
,,463For teacher the teacher was co-operative and ensured that students understand the course completely and,Teacher,CS1H
,,"463For teacher very cooperative teacher, always encourage and guide us in subject matter.",Teacher,CS1H
,,"463For teacher no doubt , ma'am is very good in teaching but she gave us extra ordinary assignments and she  give",Teacher,CS1H
,,"463For teacher mam nimra again, a great teacher",Teacher,CS1H
,,463For teacher a very friendly and co-operative teacher.,Teacher,CS1H
,,463For teacher good,Teacher,CS1H
,,"463For teacher truly impactful teaching, creating bright futures!",Teacher,CS1H
,,463For teacher she is a good teacher and was always present in the class at the time and answered all the questions,Teacher,CS1H
,,463For teacher explains programming concepts clearly and effectively.,Teacher,CS1H
,,463For teacher no comments,Teacher,CS1H
,,"463For teacher she is patient, organized, and makes learning engaging and accessible for all.",Teacher,CS1H
,,463For teacher mam nimra is a dedicated teacher.,Teacher,CS1H
,,463For teacher a great teaching method possible,Teacher,CS1H
,,463For teacher mam was honest,Teacher,CS1H
,,"463For teacher very nice teacher, understanding, she always speaks on point.",Teacher,CS1H
,,"463For teacher although i am unknown to anything but, he has make not a master but at level that i can say to my self",Teacher,CS1H
,,463For teacher everthing is best of her. the only change required is that course should go a little slower.,Teacher,CS1H
,,463For teacher managed class time effectively,Teacher,CS1H
,,"463For teacher supportive ,always encourage and motivated us to do better",Teacher,CS1H
,,463For teacher a very great deal of knowledge provided to us ..and gave new concepts about ideas.always helpful to,Teacher,CS1H
,,463For teacher ma'am is very humble.,Teacher,CS1H
,,463For teacher a old saying that the teacher is not a king but he made his students a king.,Teacher,CS1H
,,463For teacher perfect and supportive,Teacher,CS1H
,,463For teacher mam was honest,Teacher,CS1H
,,463For teacher very honest.,Teacher,CS1H
,,463For teacher ma'am was always well prepared and always enthusiastic to teach us well,Teacher,CS1H
,,463For teacher maam nimra is very best teacher her way of teaching is very best she is coperative teacher,Teacher,CS1H
,,463For teacher mam was excellent in teaching the course and maintain class environment,Teacher,CS1H
,,"463For teacher very nice teacher for any class, best option for anyone",Teacher,CS1H
,,463For teacher teacher is nice enough,Teacher,CS1H
,,463For teacher she is very god teacher for teaching programming ..,Teacher,CS1H
,,"463For teacher very punctual, cooperative, dedicated, supportive and the way of teaching is outstanding",Teacher,CS1H
,,"463For teacher great teaching, clear explanations, and approachable. thank you!",Teacher,CS1H
,,464For Course good,Course,CS1H
,,464For Course course is not teaching i active,Course,CS1H
,,464For Course the course builds a solid foundation in programming fundamentals.,Course,CS1H
,,464For Course programming subject is very intresting for students for bscs,Course,CS1H
,,464For Course well-structured and engaging material that enhances learning.,Course,CS1H
,,464For Course interesting and logical one,Course,CS1H
,,464For Course the course serves the purpose well for this was designed building the basis of problem solving skill and,Course,CS1H
,,464For Course an interesting course because my subject teacher taught in a better way.,Course,CS1H
,,464For Course okay its fine!,Course,CS1H
,,464For Course one of the best courses,Course,CS1H
,,464For Course bit difficult at the start but an interesting one.,Course,CS1H
,,464For Course okay,Course,CS1H
,,464For Course basic course that actually needed,Course,CS1H
,,464For Course good course,Course,CS1H
,,464For Course comprehensive and well-organized course content.,Course,CS1H
,,464For Course no comments,Course,CS1H
,,464For Course valuable course that strengthens practical language skills for effective communication,Course,CS1H
,,464For Course the course is rightly in the first semester.,Course,CS1H
,,464For Course rerquire some polishing,Course,CS1H
,,464For Course course was good,Course,CS1H
,,464For Course i  like logical subjects so i enjoy learning this course.,Course,CS1H
,,"464For Course although i am unknown to anything but, he has make not a master but at level that i can say to my self",Course,CS1H
,,464For Course course is little tricky to go wth,Course,CS1H
,,464For Course relevant,Course,CS1H
,,464For Course very important course for the basics of programming and very well taught by teacher,Course,CS1H
,,464For Course course was quite tough at this level because many students came from diffent background so topic,Course,CS1H
,,464For Course course is very interesting.,Course,CS1H
,,464For Course no comments.,Course,CS1H
,,464For Course good,Course,CS1H
,,464For Course course was good,Course,CS1H
,,464For Course easy,Course,CS1H
,,464For Course course covered all the required topics helpful for us in our near future,Course,CS1H
,,464For Course Â¿this course is best to build basic concept of programming,Course,CS1H
,,464For Course course was good and upto date and perfect,Course,CS1H
,,464For Course very important and impressive,Course,CS1H
,,464For Course this course is helpful,Course,CS1H
,,464For Course course was very good and was good according to need of this current time,Course,CS1H
,,464For Course very helpful and updated,Course,CS1H
,,464For Course good course,Course,CS1H
